labels,metric,baseline,n_pairs,mean_diff,ci_low,ci_high,wins,ties,losses,wilcoxon_W,p_wilcoxon,rank_biserial,p_ttest,cohen_dz,p_holm
fine,macro_f1,fedavg,10,0.034086203023130646,0.007065773698453252,0.057952904942990574,8,0,2,8.0,0.048828125,0.7090909090909091,0.034544964773979586,0.7867199141878327,0.111328125
fine,macro_f1,fedlc,10,0.10948637569106748,0.07358698272267586,0.1540807577970016,10,0,0,0.0,0.001953125,1.0,0.0007178292447371312,1.5878706818294548,0.01953125
fine,macro_f1,fedlc_sfs,10,0.0710774662938786,0.04103462622938749,0.10201238134175039,9,0,1,1.0,0.00390625,0.9636363636363636,0.0018643809915300095,1.373942917862667,0.03125
fine,macro_f1,fedprox,10,0.02925998270669971,-0.005774961916943526,0.062021686350776775,7,0,3,13.0,0.16015625,0.5272727272727272,0.14574706333713883,0.5035776166134693,0.16015625
fine,macro_f1,fedprox_sfs,10,0.05847695046593408,0.03400243460799573,0.08517828561377754,9,0,1,1.0,0.00390625,0.9636363636363636,0.0023486317735890174,1.3243106377601181,0.03125
fine,macro_f1,fedrs,10,0.03340214876895158,0.007344843865954066,0.05736133319604153,8,0,2,7.0,0.037109375,0.7454545454545455,0.03417168927398628,0.788813812904444,0.111328125
fine,macro_f1,fedrs_sfs,10,0.06431385554453846,0.0392071972318467,0.08921342779251559,9,0,1,1.0,0.00390625,0.9636363636363636,0.0010068874288447537,1.5103035809869827,0.03125
fine,macro_f1,scaffold,10,-0.0701260032936524,-0.09278010549480031,-0.04749283115290715,0,0,10,0.0,0.001953125,-1.0,0.00030806813570854937,-1.791111144604943,0.01953125
fine,macro_f1,scaffold_sfs,10,0.06376455213904095,0.024727912482201162,0.10006136415510594,9,0,1,4.0,0.013671875,0.8545454545454545,0.011842108205802174,0.9943750845246226,0.0546875
fine,macro_f1,statavg,10,0.06938204211748158,0.04357193838900842,0.09476238414794932,9,0,1,1.0,0.00390625,0.9636363636363636,0.000705873425796736,1.5917734128902137,0.03125
fine,tail_recall,fedavg,10,0.08157839328390966,0.01502777053903642,0.1517599741796729,7,0,3,9.0,0.064453125,0.6727272727272727,0.05625588454317774,0.6925193784792,0.322265625
fine,tail_recall,fedlc,10,0.07975496375000637,0.015014308941474944,0.15128029819382663,7,0,3,9.0,0.064453125,0.6727272727272727,0.05831210546505923,0.6855517247347284,0.322265625
fine,tail_recall,fedlc_sfs,10,0.07518442842367576,0.04013084963556415,0.10572794078181544,9,0,1,3.0,0.009765625,0.8909090909090909,0.002191086131321095,1.339156370680963,0.078125
fine,tail_recall,fedprox,10,0.05161085072523193,-0.030958203623052443,0.12353675237226942,8,0,2,16.0,0.275390625,0.41818181818181815,0.2509170221748771,0.3880413101751536,0.55078125
fine,tail_recall,fedprox_sfs,10,0.10528038067129057,0.05368186599198617,0.1635966749458359,10,0,0,0.0,0.001953125,1.0,0.006328204875400311,1.1189965343255972,0.01953125
fine,tail_recall,fedrs,10,0.0831776374532593,0.015590691403661063,0.15387942276292377,9,0,1,7.0,0.037109375,0.7454545454545455,0.053201373655257775,0.7033419221764498,0.22265625
fine,tail_recall,fedrs_sfs,10,0.1053857911308564,0.04111754429364064,0.18260139944397802,9,0,1,3.0,0.009765625,0.8909090909090909,0.021799942391035318,0.875538522474679,0.078125
fine,tail_recall,scaffold,10,-0.11062179657117141,-0.2066788711047076,-0.014496131915159157,3,0,7,11.0,0.10546875,-0.6,0.061653380823473006,-0.6747231290273019,0.322265625
fine,tail_recall,scaffold_sfs,10,0.022990652310972564,-0.023038843891456745,0.06417910631909592,6,0,4,18.0,0.375,0.34545454545454546,0.35217889450909934,0.3102514605071277,0.55078125
fine,tail_recall,statavg,10,0.10150952595841359,0.04594622080962795,0.1659605640571631,9,0,1,2.0,0.005859375,0.9272727272727272,0.012865860255066322,0.9781099041528908,0.052734375
fine,worst_client_f1_p10,fedavg,10,0.13010280145383646,0.10178972945321672,0.16324266496739612,10,0,0,0.0,0.001953125,1.0,2.6164881870198924e-05,2.477285613571272,0.01953125
fine,worst_client_f1_p10,fedlc,10,0.14640950983917986,0.10207048755592169,0.19486389396885934,10,0,0,0.0,0.001953125,1.0,0.00025361831208389925,1.8398883020214887,0.01953125
fine,worst_client_f1_p10,fedlc_sfs,10,0.05381164843355644,0.02564127172569681,0.08168982736496412,9,0,1,3.0,0.009765625,0.8909090909090909,0.00630678678827925,1.1196801387475679,0.048828125
fine,worst_client_f1_p10,fedprox,10,0.0986670827299542,0.053375721006368615,0.14433760279529553,9,0,1,1.0,0.00390625,0.9636363636363636,0.002891089693000887,1.280273207324154,0.02734375
fine,worst_client_f1_p10,fedprox_sfs,10,0.046423553975219474,0.010976407310660342,0.0762020538573222,8,0,2,9.0,0.064453125,0.6727272727272727,0.027913273332514987,0.8278084378587444,0.12890625
fine,worst_client_f1_p10,fedrs,10,0.11415393241685075,0.08465988542136732,0.14391478300618565,10,0,0,0.0,0.001953125,1.0,5.71495019262246e-05,2.24277495082079,0.01953125
fine,worst_client_f1_p10,fedrs_sfs,10,0.05340288175879935,0.03394133117515377,0.06902440010955589,9,0,1,1.0,0.00390625,0.9636363636363636,0.00034287006291925575,1.7646090772561682,0.02734375
fine,worst_client_f1_p10,scaffold,10,0.04763305118592124,0.009053268031435474,0.08285893493021143,8,0,2,9.0,0.064453125,0.6727272727272727,0.040930486851723076,0.7540178696534686,0.12890625
fine,worst_client_f1_p10,scaffold_sfs,10,0.04454131858474274,0.008560273761136139,0.07432470438381096,9,0,1,7.0,0.037109375,0.7454545454545455,0.0338491072541637,0.7906418284762206,0.111328125
fine,worst_client_f1_p10,statavg,10,0.058575154754293715,0.02518722122940153,0.0844275508040224,9,0,1,6.0,0.02734375,0.7818181818181819,0.005675645330917304,1.1409979175700788,0.109375
grouped,macro_f1,fedavg,10,0.09106551690615697,0.0703474223066505,0.11177614685660617,10,0,0,0.0,0.001953125,1.0,1.8894629450174535e-05,2.580328091630323,0.01953125
grouped,macro_f1,fedlc,10,0.11134439586201168,0.07730537943129193,0.14409741576497764,10,0,0,0.0,0.001953125,1.0,0.00019061445331671303,1.9130037880070703,0.01953125
grouped,macro_f1,fedlc_sfs,10,0.017390192293271566,0.0018727998785819427,0.03157250820798689,8,0,2,9.0,0.064453125,0.6727272727272727,0.053676647749367486,0.7016187404070573,0.1953125
grouped,macro_f1,fedprox,10,0.06655048911528164,0.04898567003510577,0.08614579931657335,10,0,0,0.0,0.001953125,1.0,8.717077873981397e-05,2.123047299932469,0.01953125
grouped,macro_f1,fedprox_sfs,10,0.02007869517973978,0.0043251540178083255,0.03372113411758708,8,0,2,8.0,0.048828125,0.7090909090909091,0.031021396551206292,0.807454864163612,0.1953125
grouped,macro_f1,fedrs,10,0.08266754546119544,0.06112322363438714,0.10523889791007698,10,0,0,0.0,0.001953125,1.0,7.091918706326504e-05,2.180972193733913,0.01953125
grouped,macro_f1,fedrs_sfs,10,0.025879968446284596,0.00820025119132534,0.04332103697442961,9,0,1,5.0,0.01953125,0.8181818181818182,0.02330940464830468,0.8625970766605102,0.1171875
grouped,macro_f1,scaffold,10,-0.0071448906506496376,-0.027926669898041805,0.018027040114682022,2,0,8,18.0,0.375,-0.34545454545454546,0.5843594229781406,-0.1794064562269161,0.375
grouped,macro_f1,scaffold_sfs,10,0.020319805391539512,0.0045540768424181125,0.03620730289251644,7,0,3,9.0,0.064453125,0.6727272727272727,0.04328690359533167,0.7432163037193579,0.1953125
grouped,macro_f1,statavg,10,0.02794778351354722,0.009281491953594382,0.04492100118294355,8,0,2,7.0,0.037109375,0.7454545454545455,0.01723781166381345,0.9210488024119232,0.185546875
grouped,tail_recall,fedavg,10,0.31244616510023937,0.24479957533911414,0.37871546567436637,10,0,0,0.0,0.001953125,1.0,1.2592721576342239e-05,2.7134479985428803,0.01953125
grouped,tail_recall,fedlc,10,0.16615619419605754,0.11809690554609971,0.21272165896602896,10,0,0,0.0,0.001953125,1.0,0.00010947920646117292,2.0603377445795164,0.01953125
